trung quốc
campuchia
hà tĩnh|h/tĩnh|h.tĩnh
quảng ninh|q/ninh|q.ninh
đắk nông|đ/nông|đ.nông
bà rịa|b/rịa|b.rịa
tuyên quang|t/quang|t.quang
hà nội|hn
hà giang|h/giang|h.giang
đắk lắk|đ/lắk|đ.lắk
lai châu|l/châu|l.châu
bình phước|b/phước|b.phước
bình dương|b/dương|b.dương
tiền giang|t/giang|t.giang
thừa thiên huế|tt huế|tth
an giang
đồng tháp|đ/tháp|đ.tháp
bà rịa vũng tàu|bà rịa|vũng tàu|b.rịa v.tàu
ninh bình|n/bình|n.bình
tây ninh|t/ninh|t.ninh
bạc liêu|b/liêu|b.liêu
bắc ninh|b/ninh|b.ninh
hà nam|h/nam|h.nam
đà nẵng|đn
hậu giang|h/giang|h.giang
hồ chí minh|hcm
vũng tàu|v/tàu|v.tàu
thái nguyên|t/nguyên|t.nguyên
nam định|n/định|n.định
phú thọ|p/thọ|p.thọ
thái bình|t/bình|t.bình
ninh thuận|n/thuận|n.thuận
quảng nam|q/nam|q.nam
bắc kạn|b/kạn|b.kạn
điện biên|đ/biên|đ.biên
vĩnh phúc|v/phúc|v.phúc
nghệ an
sơn la
hưng yên|h/yên|h.yên
quảng ngãi|q/ngãi|q.ngãi
bình định|b/định|b.định
kon tum|k/tum|k.tum
phú yên|p/yên|p.yên
đồng nai|đ/nai|đ.nai
trà vinh|t/vinh|t.vinh
cần thơ|c/thơ|c.thơ
kiên giang|k/giang|k.giang
bắc giang|b/giang|b.giang
hải dương|h/dương|h.dương
bến tre|b/tre|b.tre
cao bằng|c/bằng|c.bằng
sóc trăng|s/trăng|s.trăng
bình thuận|b/thuận|b.thuận
yên bái|y/bái|y.bái
lạng sơn|l/sơn|l.sơn
quảng trị|q/trị|q.trị
khánh hòa|k/hòa|k.hòa
lào cai|l/cai|l.cai
cà mau|c/mau|c.mau
long an|l/an|l.an
gia lai|g/lai|g.lai
vĩnh long|v/long|v.long
lâm đồng|l/đồng|l.đồng
thanh hóa|t/hóa|t.hóa
hòa bình|h/bình|h.bình
quảng bình|q/bình|q.bình
hải phòng|hp
hà tây|h/tây|h.tây
